,소재지(위치),이용건수,위도,경도
0,강남구,967941,37.5172,127.0473
1,강동구,1398828,37.5307,127.1238
2,강북구,478386,37.6396,127.0257
3,강서구,3601548,37.551,126.8495
4,관악구,905613,37.4782,126.9517
5,광진구,1558609,37.5384,127.0828
6,구로구,1238069,37.4954,126.8874
7,금천구,553659,37.4509,126.9005
8,노원구,1849078,37.654,127.0567
9,도봉구,650165,37.6688,127.0471
10,동대문구,1174341,37.5744,127.04
11,동작구,680579,37.5124,126.9393
12,마포구,1772609,37.5665,126.901
13,서대문구,700026,37.582,126.9357
14,서초구,1013122,37.4835,127.0324
15,성동구,1257101,37.5572,127.04
16,성북구,831108,37.5891,127.0181
17,송파구,2979550,37.5145,127.1065
18,양천구,1872742,37.5169,126.866
19,영등포구,2588031,37.5262,126.8959
20,용산구,702671,37.5311,126.981
21,은평구,859289,37.6037,126.9291
22,종로구,1175511,37.5723,126.9794
23,중구,782331,37.5635,126.9975
24,중랑구,917066,37.6066,127.093
